Penyakit,Gejala 1,Gejala 2,Gejala 3,Gejala 4,Gejala 5,Gejala 6,Gejala 7,Gejala 8,Gejala 9,Gejala 10,Gejala 11,Gejala 12,Gejala 13,Gejala 14,Gejala 15,Gejala 16,Gejala 17,Gejala 18,Gejala 19
Pneumonia,Demam tinggi,Kesulitan bernapas,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Sering berbaring,,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Keluar cairan pada hidung,Terlihat lesu,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Demam tinggi,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Kesulitan bernapas ,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Diare,Stres,Tidak nafsu makan,Demam,Dehidrasi,Mencret ,Kotoran berdarah,,,,,,,,,,,,,
Diare,Stres,Tidak nafsu makan,Demam,Dehidrasi,Mencret ,,,,,,,,,,,,,,
Diare,Stres,Tidak nafsu makan,Demam,Dehidrasi,Kotoran berdarah,,,,,,,,,,,,,,
Diare,Stres,Tidak nafsu makan,Demam,Mencret ,Kotoran berdarah,,,,,,,,,,,,,,
Diare,Stres,Tidak nafsu makan,Dehidrasi,Mencret ,Kotoran berdarah,,,,,,,,,,,,,,
Diare,Stres,Demam,Dehidrasi,Mencret ,Kotoran berdarah,,,,,,,,,,,,,,
Diare,Tidak nafsu makan,Demam,Dehidrasi,Mencret ,Kotoran berdarah,,,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Mudah ambruk ,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Gemetar,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Gemetar,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Demam tinggi,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Penurunan produksi susu,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Kemandulan permanen,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan temporer,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
Brucellosis,Keguguran,Kemandulan permanen,Penurunan produksi susu,Cairan janin keruh,Radang buah pelir,Radang saluran sperma,Pembengkakan persendian lutut,,,,,,,,,,,,
