Penyakit,Deskripsi
Pneumonia ,"Pneumonia adalah infeksi paru-paru serius yang dapat menjadi fatal jika tidak segera diobati. Biasanya disebabkan oleh bakteri dan lingkungan yang kurang bersih, ditandai dengan gejala seperti demam tinggi, kesulitan bernafas, dan keluarnya cairan hidung."
Diare,"Diare adalah gangguan pencernaan yang menyebabkan keluarnya feses dalam jumlah berlebihan dan lebih encer dari biasanya. Ini dapat disebabkan oleh perubahan pakan, masalah metabolisme, atau infeksi bakteri atau parasit di saluran pencernaan. Gejalanya termasuk diare dengan kotoran berbau, demam, kehilangan nafsu makan, dan dehidrasi. "
Anthrax,"Anthrax, atau radang limpa, adalah penyakit menular akut yang dapat mempengaruhi semua hewan berdarah panas, termasuk manusia, disebabkan oleh Bakteri Bacillus anthracis. Gejalanya meliputi kematian mendadak, perdarahan di lubang-lubang tubuh, kesulitan bernapas, demam tinggi, dan kelemahan yang cepat mengakibatkan kematian. "
Brucellosis ,"Brucellosis, penyakit menular pada sapi, kambing, dan kerbau, menyebabkan keguguran pada hewan betina dan penurunan produksi susu pada sapi perah. Disebabkan oleh bakteri Brucella, dapat menular melalui makanan, kelamin, atau kulit luka, berpotensi menjangkiti manusia. Tandanya termasuk keguguran pada kebuntingan 5-8 bulan, kemajiran, penurunan produksi susu sapi, cairan janin keruh, peradangan pada hewan jantan, dan kadang-kadang kebengkakan pada persendian lutut."
Septichaemia Epizootica (SE),"Septicemia Epizootica (SE) adalah penyakit pada sapi dan kerbau yang disebabkan oleh bakteri Pasteurella multocida. Gejalanya meliputi mendengkur pada kerbau, kebengkakan leher, demam, mata sayu, dan penurunan nafsu makan. Penularannya melalui saluran pencernaan dan pernapasan."
Malignant Catrrahal Fever,"Penyakit ingusan atau Malignant Catarrhal Fever adalah kondisi menular yang akut dan sering fatal pada sapi dan kerbau. Gejalanya mencakup keluarnya ingus berlebihan dari hidung, demam tinggi, peradangan pada selaput lendir pernapasan dan mata, serta kadang-kadang dapat menyebabkan encephalitis (peradangan pada otak)."
Apthea Epizootica (AE) ,"Penyakit Mulut dan Kuku (PMK) atau Apthae Epizootica (AE) adalah penyakit menular pada hewan berkuku belah seperti sapi, kerbau, dan kambing disebabkan oleh virus Picornaviridae. Penularannya cepat, melalui kontak langsung atau bahan terkontaminasi. Gejalanya termasuk demam, lepuh pada mulut dan kaki, serta penurunan produksi susu. "
Bovine Epheral Fever (BEF) ,"Bovine Ephemeral Fever (BEF) adalah penyakit viral yang ditularkan melalui serangga. Meskipun tidak fatal, BEF menyebabkan demam dan kekakuan pada persendian. Produksi susu menurun dan hewan pekerja tidak dapat bekerja selama beberapa hari. "
Trypanosomiasis ,"Trypanosomiasis, juga dikenal sebagai Surra atau Penyakit Mubeng, merupakan penyakit parasiter pada hewan yang dapat bersifat akut atau kronis. Penyakit ini disebabkan oleh protozoa Trypanosoma evansi yang menyebar melalui lalat penghisap darah. Gejalanya meliputi demam, kelemahan, penurunan nafsu makan, dan dalam kasus parah, dapat menyebabkan kematian. "
Fasciolasis ,"Fasciolosis, atau disebut juga Cacing Hati, adalah penyakit yang disebabkan oleh cacing trematoda seperti Fasciola gigantica dan Fhepatica, menyerang hewan ternak seperti sapi, kerbau, domba, dan kambing. Parasit ini menginfeksi hati dan saluran empedu, menyebabkan gangguan pencernaan, berat badan menurun, anemia, dan edema pada hewan yang terinfeksi. "
