Penyakit,Gejala 1,Gejala 2,Gejala 3,Gejala 4,Gejala 5,Gejala 6,Gejala 7,Gejala 8,Gejala 9,Gejala 10,Gejala 11,Gejala 12,Gejala 13,Gejala 14,Gejala 15,Gejala 16,Gejala 17,Gejala 18,Gejala 19
Pneumonia,Demam tinggi,Kesulitan bernapas,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Sering berbaring,,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Keluar cairan pada hidung,Terlihat lesu,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Demam tinggi,Kesulitan bernapas ,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Demam tinggi,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Kesulitan bernapas ,Keluar cairan pada hidung,Cepat terengah-engah,Terlihat lesu,Terlihat gelisah,Sering berbaring,Kematian mendadak,,,,,,,,,,,,
Pneumonia,Kesulitan bernapas,Cepat terengah-engah,Terlihat lesu,Keluar cairan pada hidung,Kematian mendadak,Sering berbaring,Terlihat gelisah,Demam tinggi,,,,,,,,,,,
Pneumonia,Terlihat lesu,Demam tinggi,Cepat terengah-engah,Kesulitan bernapas,Terlihat gelisah,Keluar cairan pada hidung,Kematian mendadak,Sering berbaring,,,,,,,,,,,
Pneumonia,Keluar cairan pada hidung,Kematian mendadak,Terlihat gelisah,Sering berbaring,Cepat terengah-engah,Demam tinggi,Terlihat lesu,Keluar cairan pada hidung,,,,,,,,,,,
Pneumonia,Terlihat lesu,Terlihat gelisah,Cepat terengah-engah,Kesulitan bernapas ,Sering berbaring,Kematian mendadak,Demam tinggi,Keluar cairan pada hidung,,,,,,,,,,,
Pneumonia,Sering berbaring,Terlihat lesu,Kesulitan bernapas ,Terlihat gelisah,Cepat terengah-engah,Kematian mendadak,Keluar cairan pada hidung,Demam tinggi,,,,,,,,,,,
Pneumonia,Cepat terengah-engah,Kematian mendadak,Keluar cairan pada hidung,Terlihat gelisah,Kesulitan bernapas ,Demam tinggi,Terlihat lesu,Sering berbaring,,,,,,,,,,,
Pneumonia,Kesulitan bernapas ,Sering berbaring,Keluar cairan pada hidung,Cepat terengah-engah,Kematian mendadak,Demam tinggi,Terlihat lesu,Terlihat gelisah,,,,,,,,,,,
Pneumonia,Kematian mendadak,Kesulitan bernapas ,Keluar cairan pada hidung,Terlihat lesu,Cepat terengah-engah,Sering berbaring,Demam tinggi,Terlihat gelisah,,,,,,,,,,,
Diare,Stres,Tidak nafsu makan,Demam,Dehidrasi,Mencret ,Kotoran berdarah,,,,,,,,,,,,,
Diare,Stres,Tidak nafsu makan,Demam,Dehidrasi,Mencret ,,,,,,,,,,,,,,
Diare,Stres,Tidak nafsu makan,Demam,Dehidrasi,Kotoran berdarah,,,,,,,,,,,,,,
Diare,Stres,Tidak nafsu makan,Demam,Mencret ,Kotoran berdarah,,,,,,,,,,,,,,
Diare,Stres,Tidak nafsu makan,Dehidrasi,Mencret ,Kotoran berdarah,,,,,,,,,,,,,,
Diare,Stres,Demam,Dehidrasi,Mencret ,Kotoran berdarah,,,,,,,,,,,,,,
Diare,Tidak nafsu makan,Demam,Dehidrasi,Mencret ,Kotoran berdarah,,,,,,,,,,,,,,
Diare,Mencret ,Kotoran berdarah,Stres,Tidak nafsu makan,Demam,Dehidrasi,,,,,,,,,,,,,
Diare,Tidak nafsu makan,Mencret ,Stres,Kotoran berdarah,Dehidrasi,Demam,,,,,,,,,,,,,
Diare,Dehidrasi,Demam,Kotoran berdarah,Mencret ,Stres,Tidak nafsu makan,,,,,,,,,,,,,
Diare,Stres,Dehidrasi,Tidak nafsu makan,Mencret ,Kotoran berdarah,Demam,,,,,,,,,,,,,
Diare,Dehidrasi,Mencret ,Demam,Stres,Kotoran berdarah,Tidak nafsu makan,,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Mudah ambruk ,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Gemetar,Kondisi lemah,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Gemetar,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
Anthrax,Kematian mendadak ,Kesulitan bernapas,Demam tinggi,Berjalan sempoyongan ,Kondisi lemah,Mudah ambruk ,Perdarahan lubang kumlah,,,,,,,,,,,,
