Penyakit,Pengobatan,Pencegahan
Pneumonia ,"Diberikan Antibiotik seperti (Oxyteracicline LA, Amoxycicillin LA, Vetoxy LA) + Vitamin. Pengulangan setelah tiga sampai enam hari dengan Pemberian Antiradang & Antipiretik (Tolfen LA / Phenylject )","Pencegahan melibatkan desinfeksi mingguan kandang, deteksi dini penyakit dengan kontrol rutin, pemberian antibiotik dan vitamin, sanitasi pagi yang rutin, serta penggunaan kipas angin untuk menjaga sirkulasi udara."
Diare,Pemberian obat antibiotik atau antihistamin & vitamin Memberikan hijauan dengan mengurangi pakan jadi (pakan + konsentrat) untuk masa pemulihan.,"Langkah pencegahan dan pengendalian penyakit melibatkan kebersihan lingkungan, isolasi hewan sakit, pencegahan pemasukan hewan rentan dari negara terinfeksi, serta penggunaan vaksin efektif"
Anthrax,"Pemberian antibiotika procain penisilin G, streptomycin, kombinasi antara Procain Penisilin G dengan Streptomycin, dan oksitetrasiklin. Serta pemberian antiserum yang tinggi titernya ( 100 – 150 ml )","Pencegahan penyakit dilakukan melalui vaksinasi tahunan di wilayah yang terinfeksi, pengawasan ketat terhadap pergerakan ternak, isolasi hewan yang menunjukkan atau diduga sakit, dan pemusnahan bangkai hewan sakit dengan cara pembakaran atau pemakaman dalam-dalam."
Brucellosis ,Belum ada pengobatan yang efektif.  ,"Pencegahan penyakit difokuskan pada praktik sanitasi seperti membersihkan sisa abortus, membakar fetus dan plasenta, irigasi vagina selama seminggu, menghindari perkawinan hewan yang mengalami keguguran, memberikan susu dari hewan bebas penyakit kepada anak hewan yang lahir dari induk terinfeksi Brucellosis, serta membersihkan kandang dan peralatan tercemar dengan desinfektan seperti Phenol, Kresol, Ammonium Kuartener, Biocid, dan Lysol.




"
Septichaemia Epizootica (SE),"Pengobatan penyakit SE dapat diberikan antibiotika oxytetracycline, streptomycin dan sulphadimidine ","Pencegahan meliputi pengaturan ketat terhadap pemasukan ternak di daerah bebas Smallpox Enteritis (SE) dan vaksinasi secara intramuskuler dengan dosis 3 ml menggunakan vaksin oil adjuvant setidaknya sekali setahun pada ternak yang sehat di daerah yang terkena penyakit tersebut saat tidak terjadi kejadian penyakit.





"
Malignant Catrrahal Fever,"Sampai saat ini tidak ada obat yang efektif, oleh karena itu dianjurkan ternak yang menderita penyakit ingusan agar dipotong. ","Pencegahan meliputi kebijakan untuk menghindari pemeliharaan atau penggembalaan bersama sapi/kerbau dengan domba pada lokasi yang sama, mencegah pemasukan domba dari daerah lain sebagai carrier penyakit, dan meningkatkan sanitasi lingkungan serta tata laksana pemeliharaan ternak."
Apthea Epizootica (AE) ,"Belum ada obat yang efektif, yang dapat  mengobati ternak yang menderita Penyakit Mulut dan Kuku (PMK)","Langkah pencegahan termasuk vaksinasi massal, pengawasan ketat terhadap arus lalu lintas ternak, dan pemotongan paksa pada ternak yang terinfeksi Penyakit Mulut dan Kuku (PMK)."
Bovine Epheral Fever (BEF) ,"Sampai saat ini belum ada pengobatan yang efektif, namun demikian pemberian antibiotika berspektrum luas perlu dianjurkan untuk mencegah infeksi sekunder dan pemberian vitamin untuk menghindari stres. ","Mengamati kebersihan lingkungan, menggunakan insektisida untuk vektor penyakit, dan mengisolasi hewan sakit merupakan langkah-langkah pencegahan yang diperlukan."
Trypanosomiasis ,"Hewan yang sakit, dipisahkan dari yang sehat, pemberian 10 % Naganol dengan dosis pengobatan 3 gram/ekor intravena, moranyl 10 mg/ Kg berat badan, antrycide/ Quinapiramine 3 –5 mg/ Kg berat badan, berenil 3,5 mg/ Kg berat badan. ","Langkah-langkah pencegahan mencakup pemberian Naganol, pembasmian serangga penghisap darah, pembersihan tempat yang basah, dan pemotongan hewan sakit di malam hari untuk mengurangi penyebaran lalat.




"
Fasciolasis ,"Pengobatan dilakukan selama 3 kali pemberian yaitu : Pada permulaan musim penghujan. Pada pertengahan musim penghujan. Pada akhir musim penghujan. Obat obatan  yang diberikan antara lain : dovenix, bilevon, monil, dan carbontetrachlorida","Pencegahan mencakup eliminasi siput perantara menggunakan Mollusida secara kimia, pengendalian siput secara biologis dengan pemeliharaan itik, rotasi padang rumput, perbaikan sistem pengairan untuk mengurangi kelembaban, dan penjagaan ternak sakit serta sehat di area penggembalaan yang terpisah untuk mencegah kontaminasi."
